Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_CD3TCR	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_EMTstroma	Geneset_Javelin	Geneset_HALLMARK
81855_at	81855	LOC81855	SFXN3	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10603_at	10603	LOC10603	SH2B2	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6457_at	6457	LOC6457	SH3GL3	Multiple	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6513_at	6513	LOC6513	SLC2A1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8406_at	8406	LOC8406	SRPX	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6781_at	6781	LOC6781	STC1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11045_at	11045	LOC11045	UPK1A	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7424_at	7424	LOC7424	VEGFC	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7436_at	7436	LOC7436	VLDLR	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8839_at	8839	LOC8839	WISP2	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
26118_at	26118	LOC26118	WSB1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55689_at	55689	LOC55689	YEATS2	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23036_at	23036	LOC23036	ZNF292	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55893_at	55893	LOC55893	ZNF395	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5284_at	5284	LOC5284	PIGR	NA	NA	NA	ccrcc1.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
256714_at	256714	LOC256714	MAP7D2	NA	NA	NA	ccrcc1.up	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
492307_at	492307	LOC492307	C8ORF22	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2138_at	2138	LOC2138	EYA1	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2903_at	2903	LOC2903	GRIN2A	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4684_at	4684	LOC4684	NCAM1	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22986_at	22986	LOC22986	SORCS3	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6695_at	6695	LOC6695	SPOCK1	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27347_at	27347	LOC27347	STK39	NA	NA	NA	ccrcc1.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29974_at	29974	LOC29974	A1CF	NA	NA	NA	ccrcc2.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2243_at	2243	LOC2243	FGA	NA	NA	NA	ccrcc2.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5502_at	5502	LOC5502	PPP1R1A	NA	NA	NA	ccrcc2.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1573_at	1573	LOC1573	CYP2J2	NA	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
115677_at	115677	LOC115677	NOSTRIN	NA	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10590_at	10590	LOC10590	SCGN	NA	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10050_at	10050	LOC10050	SLC17A4	NA	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6523_at	6523	LOC6523	SLC5A1	NA	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1356_at	1356	LOC1356	CP	NA	NA	NA	ccrcc3.dn	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7422_at	7422	LOC7422	VEGFA	NA	NA	NA	ccrcc3.dn	NA	NA	McDermott_Angio	NA	NA	NA	NA	NA	NA	NA NA
5228_at	5228	LOC5228	PGF	NA	NA	NA	ccrcc3.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7039_at	7039	LOC7039	TGFA	Multiple	NA	NA	ccrcc3.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
50617_at	50617	LOC50617	ATP6V0A4	NA	NA	NA	ccrcc3.up	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1014_at	1014	LOC1014	CDH16	NA	NA	NA	ccrcc3.up	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6422_at	6422	LOC6422	SFRP1	NA	NA	NA	ccrcc3.up	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8416_at	8416	LOC8416	ANXA9	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
245972_at	245972	LOC245972	ATP6V0D2	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57828_at	57828	LOC57828	CATSPERG	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1015_at	1015	LOC1015	CDH17	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1555_at	1555	LOC1555	CYP2B6	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1733_at	1733	LOC1733	DIO1	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2066_at	2066	LOC2066	ERBB4	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3827_at	3827	LOC3827	KNG1	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5208_at	5208	LOC5208	PFKFB2	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5618_at	5618	LOC5618	PRLR	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5816_at	5816	LOC5816	PVALB	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9376_at	9376	LOC9376	SLC22A8	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
33_at	33	LOC33	ACADL	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8029_at	8029	LOC8029	CUBN	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10249_at	10249	LOC10249	GLYAT	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4036_at	4036	LOC4036	LRP2	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10786_at	10786	LOC10786	SLC17A3	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
159963_at	159963	LOC159963	SLC5A12	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6540_at	6540	LOC6540	SLC6A13	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27233_at	27233	LOC27233	SULT1C4	NA	NA	NA	ccrcc4.dn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27299_at	27299	LOC27299	ADAMDEC1	NA	NA	NA	ccrcc4.up	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9447_at	9447	LOC9447	AIM2	Lymphoid	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	CM009_up	NA	NA	NA	NA NA
712_at	712	LOC712	C1QA	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10563_at	10563	LOC10563	CXCL13	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3512_at	3512	LOC3512	IGJ	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3880_at	3880	LOC3880	KRT19	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11040_at	11040	LOC11040	PIM2	Lymphoid	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5328_at	5328	LOC5328	PLAU	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6423_at	6423	LOC6423	SFRP2	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6590_at	6590	LOC6590	SLPI	NA	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3514_at	3514	LOC3514	IGKC	B Cell	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3728_at	3728	LOC3728	JUP	NA	NA	NA	NA	Down	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
23321_at	23321	LOC23321	TRIM2	NA	NA	NA	NA	Down	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
92949_at	92949	LOC92949	ADAMTSL1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84803_at	84803	LOC84803	AGPAT9	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4329_at	4329	LOC4329	ALDH6A1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284_at	284	LOC284	ANGPT1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
26033_at	26033	LOC26033	ATRNL1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55450_at	55450	LOC55450	CAMK2N1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54897_at	54897	LOC54897	CASZ1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
999_at	999	LOC999	CDH1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10752_at	10752	LOC10752	CHL1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80303_at	80303	LOC80303	EFHD1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4072_at	4072	LOC4072	EPCAM	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
221061_at	221061	LOC221061	FAM171A1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
222584_at	222584	LOC222584	FAM83B	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
158326_at	158326	LOC158326	FREM1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51301_at	51301	LOC51301	GCNT4	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51454_at	51454	LOC51454	GULP1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
120071_at	120071	LOC120071	GYLTL1B	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3291_at	3291	LOC3291	HSD11B2	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3949_at	3949	LOC3949	LDLR	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
744_at	744	LOC744	MPPED2	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
135138_at	135138	LOC135138	PACRG	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5071_at	5071	LOC5071	PARK2	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27115_at	27115	LOC27115	PDE7B	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
26227_at	26227	LOC26227	PHGDH	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5334_at	5334	LOC5334	PLCL1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10891_at	10891	LOC10891	PPARGC1A	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5909_at	5909	LOC5909	RAP1GAP	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51655_at	51655	LOC51655	RASD1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27330_at	27330	LOC27330	RPS6KA6	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
85477_at	85477	LOC85477	SCIN	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57619_at	57619	LOC57619	SHROOM3	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6492_at	6492	LOC6492	SIM1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6557_at	6557	LOC6557	SLC12A1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
25928_at	25928	LOC25928	SOSTDC1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9882_at	9882	LOC9882	TBC1D4	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
221981_at	221981	LOC221981	THSD7A	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
27324_at	27324	LOC27324	TOX3	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7102_at	7102	LOC7102	TSPAN7	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
158219_at	158219	LOC158219	TTC39B	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7364_at	7364	LOC7364	UGT2B7	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7369_at	7369	LOC7369	UMOD	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
256764_at	256764	LOC256764	WDR72	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79971_at	79971	LOC79971	WLS	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100128252_at	100128252	LOC100128252	ZNF667-AS1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5329_at	5329	LOC5329	PLAUR	Monocyte	NA	NA	NA	Up	UP	NA	NA	NA	NA	NA	NA	NA	NA NA
2919_at	2919	LOC2919	CXCL1	Monocyte	NA	NA	NA	Up	NA	McDermott_Myeloid	NA	NA	NA	Short_Nano	NA	NA	NA NA
6556_at	6556	LOC6556	SLC11A1	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	Nano	NA	NA	NA NA
19_at	19	LOC19	ABCA1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
240_at	240	LOC240	ALOX5	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54518_at	54518	LOC54518	APBB1IP	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
366_at	366	LOC366	AQP9	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
597_at	597	LOC597	BCL2A1	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7439_at	7439	LOC7439	BEST1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
330_at	330	LOC330	BIRC3	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
404550_at	404550	LOC404550	C16ORF74	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51279_at	51279	LOC51279	C1RL	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
717_at	717	LOC717	C2	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
718_at	718	LOC718	C3	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
389336_at	389336	LOC389336	C5ORF46	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6364_at	6364	LOC6364	CCL20	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
50937_at	50937	LOC50937	CDON	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51363_at	51363	LOC51363	CHST15	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1441_at	1441	LOC1441	CSF3R	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8701_at	8701	LOC8701	DNAH11	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1978_at	1978	LOC1978	EIF4EBP1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22936_at	22936	LOC22936	ELL2	B Cell	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2172_at	2172	LOC2172	FABP6	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2207_at	2207	LOC2207	FCER1G	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2213_at	2213	LOC2213	FCGR2B	Neutrophil	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2214_at	2214	LOC2214	FCGR3A	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
391059_at	391059	LOC391059	FRRS1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
283431_at	283431	LOC283431	GAS2L3	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
650669_at	650669	LOC650669	GAS6-AS1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
493869_at	493869	LOC493869	GPX8	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
253430_at	253430	LOC253430	IPMK	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3796_at	3796	LOC3796	KIF2A	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10184_at	10184	LOC10184	LHFPL2	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11006_at	11006	LOC11006	LILRB4	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79888_at	79888	LOC79888	LPCAT1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9242_at	9242	LOC9242	MSC	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4688_at	4688	LOC4688	NCF2	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4885_at	4885	LOC4885	NPTX2	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5034_at	5034	LOC5034	P4HB	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55824_at	55824	LOC55824	PAG1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10954_at	10954	LOC10954	PDIA5	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5210_at	5210	LOC5210	PFKFB4	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5352_at	5352	LOC5352	PLOD2	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5361_at	5361	LOC5361	PLXNA1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5507_at	5507	LOC5507	PPP1R3C	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23231_at	23231	LOC23231	SEL1L3	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54437_at	54437	LOC54437	SEMA5B	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
56833_at	56833	LOC56833	SLAMF8	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6566_at	6566	LOC6566	SLC16A1	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9120_at	9120	LOC9120	SLC16A6	Multiple	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23516_at	23516	LOC23516	SLC39A14	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
285195_at	285195	LOC285195	SLC9A9	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
257364_at	257364	LOC257364	SNX33	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
7097_at	7097	LOC7097	TLR2	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22974_at	22974	LOC22974	TPX2	T Cell	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10537_at	10537	LOC10537	UBD	Dendritic Cell	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8875_at	8875	LOC8875	VNN2	Neutrophil	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11326_at	11326	LOC11326	VSIG4	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
220001_at	220001	LOC220001	VWCE	NA	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84293_at	84293	LOC84293	FAM213A	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	CM009_down	NA	NA	NA	NA NA
79623_at	79623	LOC79623	GALNT14	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	CM009_down	NA	NA	NA	NA NA
26035_at	26035	LOC26035	GLCE	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	CM009_down	NA	NA	NA	NA NA
120_at	120	LOC120	ADD3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
54812_at	54812	LOC54812	AFTPH	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
10768_at	10768	LOC10768	AHCYL1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51390_at	51390	LOC51390	AIG1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
8644_at	8644	LOC8644	AKR1C3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
338699_at	338699	LOC338699	ANKRD42	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
83478_at	83478	LOC83478	ARHGAP24	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
8853_at	8853	LOC8853	ASAP2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51008_at	51008	LOC51008	ASCC1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
11101_at	11101	LOC11101	ATE1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
515_at	515	LOC515	ATP5F1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
284018_at	284018	LOC284018	C17ORF58	Dendritic Cell	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
4179_at	4179	LOC4179	CD46	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51397_at	51397	LOC51397	COMMD10	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
1368_at	1368	LOC1368	CPM	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
1429_at	1429	LOC1429	CRYZ	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
57834_at	57834	LOC57834	CYP4F11	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
80344_at	80344	LOC80344	DCAF11	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51071_at	51071	LOC51071	DERA	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
27122_at	27122	LOC27122	DKK3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
1803_at	1803	LOC1803	DPP4	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
10455_at	10455	LOC10455	ECI2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
84288_at	84288	LOC84288	EFCAB2	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
51234_at	51234	LOC51234	EMC4	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
56851_at	56851	LOC56851	EMC7	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
59084_at	59084	LOC59084	ENPP5	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
2035_at	2035	LOC2035	EPB41	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
54749_at	54749	LOC54749	EPDR1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
2150_at	2150	LOC2150	F2RL1	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
79843_at	79843	LOC79843	FAM124B	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	NA NA
